rank,prev_rank,name,league,off,def,spi
1,1,Manchester City,Barclays Premier League,3.2,0.22,94.85
2,2,Liverpool,Barclays Premier League,2.95,0.2,93.98
3,3,Bayern Munich,German Bundesliga,3.4,0.45,93.12
4,4,Real Madrid,Spanish Primera Division,2.71,0.34,90.26
5,6,Barcelona,Spanish Primera Division,2.94,0.47,90.04
6,5,Paris Saint-Germain,French Ligue 1,3.22,0.7,88.74
7,7,RB Leipzig,German Bundesliga,2.66,0.46,88.0
8,9,Borussia Dortmund,German Bundesliga,2.69,0.58,85.99
9,8,Chelsea,Barclays Premier League,2.43,0.46,85.57
10,10,Atletico Madrid,Spanish Primera Division,2.05,0.3,84.8
11,11,Juventus,Italy Serie A,2.45,0.57,83.58
12,15,Manchester United,Barclays Premier League,2.19,0.47,82.6
13,13,Atalanta,Italy Serie A,2.54,0.73,81.71
14,19,Sevilla FC,Spanish Primera Division,2.12,0.49,81.36
15,17,Wolverhampton,Barclays Premier League,2.05,0.45,81.34
16,14,Leicester City,Barclays Premier League,2.18,0.54,80.96
17,16,Bayer Leverkusen,German Bundesliga,2.39,0.67,80.91
18,12,Getafe,Spanish Primera Division,1.84,0.36,80.37
19,22,Internazionale,Italy Serie A,2.31,0.66,80.22
20,18,Tottenham Hotspur,Barclays Premier League,2.23,0.66,79.11
21,21,Everton,Barclays Premier League,2.15,0.61,78.94
22,20,Ajax,Dutch Eredivisie,2.61,0.97,77.81
23,28,Arsenal,Barclays Premier League,2.18,0.71,77.08
24,29,Real Sociedad,Spanish Primera Division,2.15,0.7,77.06
25,24,Lazio,Italy Serie A,2.2,0.73,77.05
26,26,Zenit St Petersburg,Russian Premier Liga,2.03,0.64,76.67
27,23,FC Salzburg,Austrian T-Mobile Bundesliga,2.8,1.16,76.64
28,31,AS Roma,Italy Serie A,2.17,0.76,75.92
29,25,FC Porto,Portuguese Liga,2.02,0.68,75.61
30,27,Napoli,Italy Serie A,2.14,0.75,75.59
31,30,Borussia Monchengladbach,German Bundesliga,2.2,0.81,75.27
32,33,Olympiacos,Greek Super League,2.0,0.72,74.14
33,32,Benfica,Portuguese Liga,2.09,0.79,74.03
34,34,Villarreal,Spanish Primera Division,2.15,0.84,73.78
35,35,Sheffield United,Barclays Premier League,1.78,0.59,73.71
36,39,Lyon,French Ligue 1,1.81,0.63,73.16
37,36,AC Milan,Italy Serie A,1.93,0.73,72.8
38,40,VfL Wolfsburg,German Bundesliga,1.97,0.77,72.6
39,38,Eintracht Frankfurt,German Bundesliga,2.07,0.86,72.24
40,37,Real Betis,Spanish Primera Division,1.99,0.81,72.02
41,46,Southampton,Barclays Premier League,1.95,0.78,71.96
42,41,Flamengo,Brasileiro Série A,2.08,0.88,71.72
43,48,Club Brugge,Belgian Jupiler League,1.85,0.76,70.84
44,45,Celtic,Scottish Premiership,2.15,0.98,70.73
45,44,Brighton and Hove Albion,Barclays Premier League,1.9,0.79,70.68
46,42,Athletic Bilbao,Spanish Primera Division,1.69,0.64,70.62
47,52,Shakhtar Donetsk,UEFA Europa League,2.14,1.0,70.21
48,54,Burnley,Barclays Premier League,1.84,0.77,70.18
49,43,Watford,Barclays Premier League,1.86,0.79,70.07
50,64,FC Cologne,German Bundesliga,2.02,0.91,70.06
51,49,Marseille,French Ligue 1,1.69,0.68,69.59
52,61,Granada,Spanish Primera Division,1.71,0.71,69.48
53,51,Celta Vigo,Spanish Primera Division,1.81,0.78,69.45
54,57,TSG Hoffenheim,German Bundesliga,2.19,1.07,69.45
55,53,Valencia,Spanish Primera Division,2.02,0.94,69.4
56,47,Osasuna,Spanish Primera Division,1.82,0.81,69.03
57,59,Crystal Palace,Barclays Premier League,1.74,0.74,68.96
58,55,Espanyol,Spanish Primera Division,1.83,0.83,68.67
59,60,Lille,French Ligue 1,1.72,0.75,68.66
60,50,Eibar,Spanish Primera Division,1.7,0.74,68.43
61,65,Leganes,Spanish Primera Division,1.58,0.65,68.2
62,58,AS Monaco,French Ligue 1,1.96,0.95,68.07
63,62,Fiorentina,Italy Serie A,1.82,0.85,67.96
64,67,LASK Linz,Austrian T-Mobile Bundesliga,2.0,1.02,67.32
65,63,FC Krasnodar,Russian Premier Liga,1.77,0.84,67.26
66,68,Dynamo Kiev,UEFA Europa League,1.97,1.01,67.02
67,71,Alavés,Spanish Primera Division,1.72,0.81,66.8
68,56,Schalke 04,German Bundesliga,1.81,0.89,66.76
69,73,Basel,Swiss Raiffeisen Super League,2.03,1.08,66.46
70,69,Palmeiras,Brasileiro Série A,1.67,0.79,66.46
71,75,River Plate,Argentina Primera Division,1.76,0.87,66.24
72,70,Leeds United,English League Championship,1.77,0.89,66.04
73,77,1. FC Union Berlin,German Bundesliga,1.82,0.94,65.74
74,66,PAOK Salonika,Greek Super League,1.82,0.94,65.73
75,80,Braga,Portuguese Liga,1.85,0.97,65.65
76,79,West Ham United,Barclays Premier League,1.91,1.02,65.53
77,74,Dinamo Zagreb,UEFA Champions League,2.05,1.14,65.45
78,72,Brentford,English League Championship,1.72,0.87,65.44
79,76,Santos,Brasileiro Série A,1.6,0.78,65.25
80,83,PSV,Dutch Eredivisie,2.0,1.12,65.0
81,78,Strasbourg,French Ligue 1,1.58,0.78,64.79
82,92,Galatasaray,Turkish Turkcell Super Lig,1.83,0.99,64.67
83,81,Verona,Italy Serie A,1.67,0.86,64.63
84,84,CSKA Moscow,Russian Premier Liga,1.63,0.84,64.35
85,85,AZ,Dutch Eredivisie,1.89,1.06,64.23
86,89,Stade Rennes,French Ligue 1,1.52,0.76,64.0
87,93,Levante,Spanish Primera Division,1.88,1.09,63.37
88,90,Slavia Prague,UEFA Champions League,1.92,1.13,63.19
89,87,Bologna,Italy Serie A,1.8,1.03,63.19
90,107,KAA Gent,Belgian Jupiler League,1.89,1.1,63.16
91,94,FC Augsburg,German Bundesliga,1.85,1.08,62.97
92,91,Guimaraes,Portuguese Liga,1.64,0.91,62.97
93,101,Sporting CP,Portuguese Liga,1.63,0.9,62.86
94,95,Grêmio,Brasileiro Série A,1.65,0.93,62.69
95,86,Mainz,German Bundesliga,1.95,1.18,62.6
96,88,AFC Bournemouth,Barclays Premier League,1.79,1.05,62.54
97,109,Nantes,French Ligue 1,1.53,0.84,62.35
98,97,Montpellier,French Ligue 1,1.5,0.82,62.18
99,98,Atlético Paranaense,Brasileiro Série A,1.42,0.75,62.05
100,105,Real Valladolid,Spanish Primera Division,1.5,0.83,61.97
101,100,Angers,French Ligue 1,1.43,0.77,61.88
102,99,Sampdoria,Italy Serie A,1.72,1.02,61.88
103,104,Young Boys,Swiss Raiffeisen Super League,2.04,1.29,61.88
104,102,Guangzhou Evergrande,Chinese Super League,1.87,1.15,61.79
105,108,Trabzonspor,Turkish Turkcell Super Lig,1.85,1.14,61.53
106,82,Hertha Berlin,German Bundesliga,1.73,1.05,61.42
107,121,FC Midtjylland,Danish SAS-Ligaen,1.68,1.01,61.4
108,114,Bordeaux,French Ligue 1,1.52,0.86,61.36
109,110,Sassuolo,Italy Serie A,1.79,1.1,61.36
110,118,West Bromwich Albion,English League Championship,1.67,1.0,61.19
111,96,SC Freiburg,German Bundesliga,1.8,1.12,61.01
112,111,Aston Villa,Barclays Premier League,1.87,1.2,60.54
113,123,Reims,French Ligue 1,1.37,0.76,60.53
114,106,Norwich City,Barclays Premier League,1.67,1.03,60.42
115,122,Malmo FF,Swedish Allsvenskan,1.64,1.02,60.17
116,116,Mallorca,Spanish Primera Division,1.73,1.1,60.12
117,120,Genoa,Italy Serie A,1.72,1.09,60.08
118,103,Rangers,Scottish Premiership,1.74,1.11,59.95
119,113,Werder Bremen,German Bundesliga,1.74,1.12,59.85
120,119,Istanbul Basaksehir,Turkish Turkcell Super Lig,1.64,1.03,59.8
121,112,Boca Juniors,Argentina Primera Division,1.47,0.88,59.8
122,117,Newcastle,Barclays Premier League,1.59,1.01,59.44
123,124,Feyenoord,Dutch Eredivisie,2.0,1.39,59.01
124,115,Ludogorets,UEFA Europa League,1.64,1.08,58.63
125,126,Shanghai SIPG,Chinese Super League,1.69,1.13,58.37
126,127,Beijing Guoan,Chinese Super League,1.76,1.21,58.34
127,125,Rapid Vienna,Austrian T-Mobile Bundesliga,1.78,1.23,58.29
128,129,Internacional,Brasileiro Série A,1.49,0.97,58.03
129,130,Lokomotiv Moscow,Russian Premier Liga,1.64,1.11,57.92
130,131,Parma,Italy Serie A,1.59,1.07,57.85
131,134,Nice,French Ligue 1,1.58,1.07,57.75
132,133,Los Angeles FC,Major League Soccer,1.98,1.43,57.68
133,137,Cagliari,Italy Serie A,1.67,1.15,57.63
134,138,Monterrey,Mexican Primera Division Torneo Clausura,1.62,1.12,57.43
135,142,Udinese,Italy Serie A,1.56,1.06,57.25
136,147,AEK Athens,Greek Super League,1.41,0.94,57.14
137,139,São Paulo,Brasileiro Série A,1.32,0.85,57.09
138,149,Fortuna Düsseldorf,German Bundesliga,1.68,1.18,57.07
139,136,St Etienne,French Ligue 1,1.45,0.97,57.03
140,140,Tigres UANL,Mexican Primera Division Torneo Clausura,1.56,1.08,56.98
141,135,FC Copenhagen,Danish SAS-Ligaen,1.61,1.13,56.9
142,141,Club América,Mexican Primera Division Torneo Clausura,1.55,1.08,56.85
143,151,SC Paderborn,German Bundesliga,1.73,1.24,56.83
144,143,Red Star Belgrade,UEFA Champions League,1.92,1.43,56.48
145,128,Apoel Nicosia,UEFA Europa League,1.58,1.12,56.47
146,144,Dijon FCO,French Ligue 1,1.46,1.01,56.4
147,146,St Gallen,Swiss Raiffeisen Super League,1.92,1.44,56.28
148,132,Fenerbahce,Turkish Turkcell Super Lig,1.71,1.25,56.23
149,145,Rostov,Russian Premier Liga,1.54,1.09,56.16
150,152,Besiktas,Turkish Turkcell Super Lig,1.73,1.3,55.46
151,150,FC Arsenal Tula,Russian Premier Liga,1.4,0.99,55.46
152,156,Rio Ave,Portuguese Liga,1.44,1.04,55.25
153,148,Nimes,French Ligue 1,1.46,1.07,54.8
154,154,Brest,French Ligue 1,1.55,1.16,54.73
155,155,Fulham,English League Championship,1.5,1.13,54.4
156,157,Ferencvaros,UEFA Europa League,1.59,1.22,54.14
157,158,Torino,Italy Serie A,1.55,1.19,54.1
158,159,Cruz Azul,Mexican Primera Division Torneo Clausura,1.55,1.2,53.67
159,160,Molde,Norwegian Tippeligaen,1.82,1.47,53.66
160,162,Yokohama F. Marinos,Japanese J League,1.76,1.42,53.62
161,163,Atletico Mineiro,Brasileiro Série A,1.42,1.08,53.53
162,161,Sporting de Charleroi,Belgian Jupiler League,1.39,1.06,53.36
163,170,Amiens,French Ligue 1,1.34,1.02,53.21
164,164,Hammarby,Swedish Allsvenskan,1.89,1.56,53.14
165,165,Spartak Moscow,Russian Premier Liga,1.29,0.98,53.0
166,167,Fluminense,Brasileiro Série A,1.35,1.04,52.91
167,169,Corinthians,Brasileiro Série A,1.26,0.96,52.88
168,153,Wolfsberger AC,Austrian T-Mobile Bundesliga,1.6,1.3,52.8
169,171,FK Partizan Belgrade,UEFA Europa League,1.51,1.21,52.7
170,174,Spal,Italy Serie A,1.51,1.21,52.64
171,176,Standard Liege,Belgian Jupiler League,1.55,1.26,52.61
172,179,Genk,Belgian Jupiler League,1.63,1.34,52.55
173,173,FC Utrecht,Dutch Eredivisie,1.7,1.41,52.3
174,175,FK Qarabag,UEFA Europa League,1.44,1.16,52.29
175,178,VfB Stuttgart,German 2. Bundesliga,1.58,1.3,52.18
176,168,Brondby,Danish SAS-Ligaen,1.77,1.49,52.12
177,196,Velez Sarsfield,Argentina Primera Division,1.17,0.9,52.01
178,166,Metz,French Ligue 1,1.31,1.05,51.91
179,208,Anderlecht,Belgian Jupiler League,1.39,1.13,51.85
180,177,Vasco da Gama,Brasileiro Série A,1.34,1.08,51.83
181,182,Stoke City,English League Championship,1.37,1.1,51.78
182,172,Vitesse,Dutch Eredivisie,1.69,1.43,51.7
183,183,Jiangsu Suning FC,Chinese Super League,1.5,1.26,51.28
184,190,Sivasspor,Turkish Turkcell Super Lig,1.6,1.37,51.19
185,185,Kawasaki Frontale,Japanese J League,1.48,1.25,51.15
186,202,Pachuca,Mexican Primera Division Torneo Clausura,1.44,1.21,51.08
187,188,Queens Park Rangers,English League Championship,1.52,1.3,50.99
188,194,Blackburn,English League Championship,1.36,1.13,50.98
189,197,Defensa y Justicia,Argentina Primera Division,1.26,1.03,50.96
190,189,Cruzeiro,Brasileiro Série A,1.18,0.96,50.89
191,181,Alanyaspor,Turkish Turkcell Super Lig,1.4,1.18,50.86
192,186,Santos Laguna,Mexican Primera Division Torneo Clausura,1.57,1.35,50.77
193,191,FC Astana,UEFA Europa League,1.54,1.33,50.65
194,193,Bahía,Brasileiro Série A,1.28,1.07,50.48
195,187,Antwerp,Belgian Jupiler League,1.39,1.19,50.34
196,192,Cardiff City,English League Championship,1.42,1.22,50.19
197,195,Millwall,English League Championship,1.27,1.07,50.18
198,180,Hamburg SV,German 2. Bundesliga,1.51,1.32,50.17
199,184,Lecce,Italy Serie A,1.66,1.48,50.01
200,201,CFR 1907 Cluj,UEFA Europa League,1.48,1.31,49.9
201,199,Shandong Luneng,Chinese Super League,1.6,1.43,49.81
202,200,Ceará,Brasileiro Série A,1.25,1.07,49.77
203,203,Preston North End,English League Championship,1.31,1.14,49.68
204,214,Servette,Swiss Raiffeisen Super League,1.47,1.3,49.57
205,204,Rosenborg,Norwegian Tippeligaen,1.62,1.47,49.37
206,220,SK Sturm Graz,Austrian T-Mobile Bundesliga,1.46,1.31,49.22
207,205,Dinamo Moscow,Russian Premier Liga,1.13,0.97,49.16
208,207,AGF Aarhus,Danish SAS-Ligaen,1.49,1.35,49.05
209,198,Toulouse,French Ligue 1,1.4,1.26,49.0
210,209,Djurgardens IF,Swedish Allsvenskan,1.36,1.23,48.83
211,213,Racing Club,Argentina Primera Division,1.2,1.06,48.82
212,223,Swansea City,English League Championship,1.41,1.28,48.72
213,231,Newell's Old Boys,Argentina Primera Division,1.24,1.1,48.68
214,242,FC Nordsjaelland,Danish SAS-Ligaen,1.58,1.47,48.4
215,212,Nottingham Forest,English League Championship,1.25,1.13,48.36
216,210,León,Mexican Primera Division Torneo Clausura,1.5,1.4,48.16
217,228,Brescia,Italy Serie A,1.45,1.36,48.01
218,211,Birmingham,English League Championship,1.38,1.28,47.96
219,219,Atlanta United FC,Major League Soccer,1.47,1.38,47.92
220,222,Fortaleza,Brasileiro Série A,1.31,1.22,47.7
221,206,CA Independiente,Argentina Primera Division,1.17,1.08,47.6
222,224,Kashima Antlers,Japanese J League,1.27,1.19,47.56
223,225,IFK Norrkoping,Swedish Allsvenskan,1.44,1.36,47.52
224,226,FC Ufa,Russian Premier Liga,1.0,0.9,47.42
225,230,Panathinaikos,Greek Super League,1.12,1.03,47.28
226,227,Aris Salonika,Greek Super League,1.39,1.33,47.16
227,221,Goztepe,Turkish Turkcell Super Lig,1.28,1.22,47.13
228,215,Middlesbrough,English League Championship,1.24,1.17,47.08
229,217,Bristol City,English League Championship,1.37,1.32,47.0
230,232,Reading,English League Championship,1.24,1.18,46.97
231,218,Huddersfield Town,English League Championship,1.27,1.22,46.84
232,233,New York City FC,Major League Soccer,1.49,1.46,46.62
233,234,Gazovik Orenburg,Russian Premier Liga,1.34,1.3,46.62
234,235,Gil Vicente,Portuguese Liga,1.23,1.19,46.57
235,236,Lorient,French Ligue 2,1.36,1.34,46.3
236,216,FC Groningen,Dutch Eredivisie,1.09,1.04,46.29
237,238,Lanus,Argentina Primera Division,1.24,1.21,46.24
238,243,Derby County,English League Championship,1.36,1.35,45.92
239,229,Pumas Unam,Mexican Primera Division Torneo Clausura,1.37,1.36,45.86
240,237,Philadelphia Union,Major League Soccer,1.5,1.51,45.79
241,239,FC Tambov,Russian Premier Liga,1.27,1.26,45.72
242,240,PFC Oleksandriya,UEFA Europa League,1.33,1.33,45.69
243,251,FK Austria Vienna,Austrian T-Mobile Bundesliga,1.53,1.55,45.67
244,246,Santa Clara,Portuguese Liga,1.19,1.18,45.57
245,249,Sheffield Wednesday,English League Championship,1.27,1.27,45.55
